title,artist,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Peaches (Feat. Daniel Caesar & Giveon),"Justin Bieber, Daniel Caesar, Giveon",0.677,0.696,0,-6.181,0.119,0.321,0.0,0.42,0.464,90.03
Telepatía,Kali Uchis,0.653,0.524,11,-9.016,0.0502,0.112,0.0,0.203,0.553,83.97
Save Your Tears,The Weeknd,0.68,0.826,0,-5.487,0.0309,0.0212,1.24e-05,0.543,0.644,118.051
Montero (Call Me By Your Name),Lil Nas X,0.61,0.508,8,-6.682,0.152,0.297,0.0,0.384,0.758,178.818
Drivers License,Olivia Rodrigo,0.585,0.436,10,-8.761,0.0601,0.721,1.31e-05,0.105,0.132,143.874
Leave The Door Open,"Bruno Mars, Anderson .Paak, Silk Sonic",0.586,0.616,5,-7.964,0.0324,0.182,0.0,0.0927,0.719,148.088
Streets,Doja Cat,0.749,0.463,11,-8.433,0.0828,0.208,0.0371,0.337,0.19,90.028
As I Am (Feat. Khalid),"Justin Bieber, Khalid",0.608,0.547,11,-8.151,0.0368,0.131,0.0,0.0974,0.108,99.947
Friday (Feat. Mufasa & Hypeman) - Dopamine Re-Edit,"Riton, Nightcrawlers, Mufasa & Hypeman, Dopamine",0.824,0.862,2,-3.424,0.126,0.0076,0.000132,0.303,0.801,122.98
34+35,Ariana Grande,0.83,0.585,0,-6.476,0.094,0.237,0.0,0.248,0.485,109.978
What’S Next,Drake,0.781,0.594,0,-6.959,0.0485,0.0136,0.0,0.162,0.0628,129.895
Goosebumps - Remix,"Travis Scott, Hvme",0.841,0.593,1,-7.846,0.0379,0.418,0.0,0.124,0.808,124.917
Prisoner (Feat. Dua Lipa),"Miley Cyrus, Dua Lipa",0.781,0.67,3,-3.912,0.0452,0.0103,0.0,0.0761,0.595,127.99
Heartbreak Anniversary,Giveon,0.449,0.465,0,-8.964,0.0791,0.524,1.02e-06,0.303,0.543,89.087
Anyone,Justin Bieber,0.686,0.538,2,-8.026,0.0345,0.181,3.13e-06,0.113,0.584,115.884
Calling My Phone,"Lil Tjay, 6Lack",0.907,0.393,4,-7.636,0.0539,0.451,1.35e-06,0.135,0.202,104.949
Levitating (Feat. Dababy),"Dua Lipa, Dababy",0.702,0.825,6,-3.787,0.0601,0.00883,0.0,0.0674,0.915,102.977
Mess Me Up,Johnning,0.602,0.594,8,-8.677,0.0504,0.304,1.32e-06,0.3,0.629,172.069
Mood (Feat. Iann Dior),"24Kgoldn, Iann Dior",0.7,0.722,7,-3.558,0.0369,0.221,0.0,0.272,0.756,90.989
Test Drive,Ariana Grande,0.698,0.708,9,-4.943,0.0454,0.0251,0.0,0.124,0.322,115.036
Blinding Lights,The Weeknd,0.513,0.796,1,-4.075,0.0629,0.00147,0.000209,0.0938,0.345,171.017
I'M Not Pretty,Jessia,0.783,0.526,7,-6.478,0.261,0.0802,0.0,0.066,0.902,75.002
Without You,The Kid Laroi,0.662,0.413,0,-7.357,0.0299,0.213,0.0,0.134,0.467,93.005
We'Re Good,Dua Lipa,0.722,0.588,6,-5.932,0.0544,0.0319,0.0,0.183,0.59,134.01
Hold On,Justin Bieber,0.658,0.634,1,-5.797,0.0413,0.0106,0.0,0.132,0.29,139.98
Astronaut In The Ocean,Masked Wolf,0.778,0.695,4,-6.865,0.0913,0.175,0.0,0.15,0.472,149.996
Wants And Needs (Feat. Lil Baby),"Drake, Lil Baby",0.578,0.449,1,-6.349,0.286,0.0618,2.17e-06,0.119,0.1,136.006
Your Love (9Pm),"Atb, Topic, A7S",0.669,0.784,7,-5.603,0.112,0.194,6.28e-06,0.115,0.517,125.993
Holiday,Lil Nas X,0.81,0.511,5,-6.924,0.164,0.12,0.0,0.0832,0.837,151.947
You Broke Me First,Tate Mcrae,0.667,0.373,4,-9.389,0.05,0.785,0.0,0.0906,0.0823,124.148
Beautiful Mistakes (Feat. Megan Thee Stallion),"Maroon 5, Megan Thee Stallion",0.713,0.676,10,-5.483,0.027,0.0377,0.0,0.154,0.721,99.048
Good Days,Sza,0.436,0.655,1,-8.37,0.0583,0.499,8.1e-06,0.688,0.412,121.002
Afterglow,Ed Sheeran,0.641,0.324,11,-5.851,0.0299,0.698,0.0,0.328,0.273,110.184
"Lemonade (Feat. Gunna, Don Toliver & Nav)","Internet Money, Gunna, Don Toliver, Nav",0.8,0.658,1,-6.142,0.079,0.25,0.0,0.111,0.462,140.042
Dynamite,Bts,0.746,0.765,6,-4.41,0.0993,0.0112,0.0,0.0936,0.737,114.044
Take You Dancing,Jason Derulo,0.789,0.711,2,-4.248,0.041,0.0332,0.0,0.0876,0.753,112.985
